epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.42618,2.43741,3.83011,5.88199,1.61436,0.00037,0.02564,0.00031,0.00021,0,0,0,0,2.64964,3.56479,5.32484,2.02295,0.00011,0.00011,0.00011
2,7.74456,2.05843,2.88847,5.49206,1.4261,0.00035,0.02564,0.0002,0.0001,0.00106,0.07692,0.00071,0.00012,2.63926,3.15906,5.10322,1.87015,0.000227723,0.000227723,0.000227723
3,8.93667,2.07779,2.69818,4.91176,1.41615,0.00036,0.02564,0.00025,9e-05,0.33441,0.24359,0.25173,0.07521,2.45521,3.1661,5.00643,1.69601,0.00034307,0.00034307,0.00034307
4,10.0788,2.02508,2.61028,4.4976,1.33574,0.00122,0.18803,0.02137,0.00552,0.04889,0.4359,0.12216,0.03625,2.37738,2.95336,4.70994,1.51361,0.000456041,0.000456041,0.000456041
5,11.2033,1.88193,2.44926,4.47581,1.34351,0.01862,0.65812,0.14528,0.03556,0.01763,0.41026,0.10513,0.03024,2.32175,3.2095,4.55264,1.40863,0.000566636,0.000566636,0.000566636
6,12.2957,2.0518,2.54047,4.01537,1.40049,0.00229,0.26496,0.01621,0.00616,0.01586,0.57265,0.05876,0.02624,2.23576,3.47158,4.36305,1.39772,0.000674855,0.000674855,0.000674855
7,13.4076,2.13839,2.59172,4.15793,1.36163,0.0092,0.67521,0.06019,0.02581,0.00669,0.41026,0.04315,0.0186,2.65222,3.51892,4.27023,1.65616,0.000780698,0.000780698,0.000780698
8,14.4617,2.29127,2.60488,3.82893,1.43472,0.00667,0.61966,0.21366,0.07664,0.00437,0.29487,0.17576,0.06733,2.70433,3.12607,4.21007,1.62022,0.000884165,0.000884165,0.000884165
9,15.5475,2.12825,2.45197,3.53681,1.4334,0.74199,0.07692,0.28317,0.11188,0.71689,0.05128,0.22946,0.11222,2.53026,3.19318,3.50208,1.60373,0.0009208,0.0009208,0.0009208
10,16.6647,2.05448,2.43119,3.45887,1.4134,0.39622,0.07692,0.34181,0.14981,0.35411,0.02564,0.27763,0.13564,2.54237,3.37665,3.34181,1.64575,0.0009109,0.0009109,0.0009109
11,17.8035,2.08945,2.4566,3.46702,1.43175,0.37042,0.02564,0.31711,0.08667,0.37349,0.02564,0.28283,0.09021,2.55521,3.18094,3.47635,1.57686,0.000901,0.000901,0.000901
12,18.946,1.99362,2.35991,3.28561,1.30604,0.39343,0.07692,0.3318,0.09019,0.35337,0.02564,0.28815,0.10845,2.43328,3.13784,3.28364,1.42333,0.0008911,0.0008911,0.0008911
13,20.0681,2.14797,2.5107,3.39919,1.38491,0.29474,0.45273,0.37188,0.11272,0.73275,0.19231,0.31261,0.10037,2.55811,3.05386,2.95729,1.52061,0.0008812,0.0008812,0.0008812
14,21.1797,2.03201,2.47941,3.11367,1.35684,0.39187,0.23679,0.29339,0.09772,0.24447,0.34314,0.32137,0.13967,2.52311,2.95191,2.71257,1.52962,0.0008713,0.0008713,0.0008713
15,22.2828,1.92874,2.20779,2.94149,1.31643,0.30195,0.47009,0.36908,0.1372,0.25817,0.35788,0.33241,0.14518,2.38913,2.73002,2.76949,1.53161,0.0008614,0.0008614,0.0008614
16,23.3715,2.04184,2.34086,3.13239,1.35956,0.35141,0.49418,0.44336,0.14179,0.47428,0.34603,0.37061,0.13228,2.43348,2.93935,2.68401,1.61962,0.0008515,0.0008515,0.0008515
17,24.45,1.96208,2.41799,3.54567,1.33645,0.78674,0.40753,0.42174,0.14214,0.7495,0.37528,0.35782,0.095,2.43332,3.19764,2.73095,1.61616,0.0008416,0.0008416,0.0008416
18,25.5427,1.96769,2.36089,2.99006,1.34364,0.75282,0.39634,0.38341,0.11525,0.75282,0.39634,0.36247,0.09886,2.57135,3.11853,2.96376,1.76726,0.0008317,0.0008317,0.0008317
19,26.6215,1.9697,2.24156,3.2786,1.32771,0.65538,0.269,0.30905,0.09133,0.63576,0.24359,0.27575,0.03686,2.49474,2.80766,2.8688,1.8106,0.0008218,0.0008218,0.0008218
20,27.6521,1.89784,2.25363,2.91953,1.32475,0.32739,0.26923,0.28417,0.09262,0.30059,0.24359,0.22956,0.04921,2.42866,2.81296,2.61024,1.74616,0.0008119,0.0008119,0.0008119
21,28.7137,1.87539,2.23053,2.5681,1.32324,0.5254,0.39409,0.38688,0.14867,0.36126,0.24359,0.26101,0.08919,2.33658,2.89647,2.62174,1.5819,0.000802,0.000802,0.000802
22,29.7556,1.8004,1.99519,2.80724,1.28873,0.36665,0.51709,0.43524,0.15735,0.3811,0.27208,0.32766,0.12607,2.41292,2.80767,2.44535,1.62726,0.0007921,0.0007921,0.0007921
23,30.8114,1.88677,2.19231,2.88236,1.3401,0.68173,0.39194,0.47236,0.1908,0.76062,0.45521,0.39716,0.16609,2.40878,2.77974,2.24098,1.60529,0.0007822,0.0007822,0.0007822
24,31.8588,1.8137,2.11943,2.72549,1.24773,0.86463,0.37238,0.50678,0.21012,0.86463,0.37238,0.45469,0.14368,2.26298,2.86184,2.27242,1.50293,0.0007723,0.0007723,0.0007723
25,32.9317,1.89137,2.12579,2.42775,1.29405,0.47635,0.43162,0.45005,0.16806,0.73879,0.21795,0.30069,0.10956,2.33725,3.11653,2.38208,1.61335,0.0007624,0.0007624,0.0007624
26,33.9836,1.83574,2.12418,2.49478,1.27689,0.29052,0.40598,0.37828,0.14802,0.5484,0.24359,0.22541,0.04459,2.43704,3.12933,2.52887,1.68608,0.0007525,0.0007525,0.0007525
27,35.0473,1.80378,2.28436,2.63089,1.28063,0.34363,0.61628,0.36261,0.15746,0.2355,0.50876,0.30671,0.07794,2.32722,2.88398,2.20835,1.53421,0.0007426,0.0007426,0.0007426
